"num","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","mass.end","end.class"
145,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",39.69,"2/1/20",392.38,"2/4/20",2150.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",9070.8,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,32,35,NA,NA,NA,0,38,0,NA,0,0,3,6,9,12,NA,NA,NA,NA,0,0,12,9070.8,"wand"
146,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",49.95,"2/1/20",147.56,"2/7/20",900.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/16/20",6658.26,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th. cuticle removed from 4th-6th prolegs 4 days after molt to 5th 2/11/20",NA,26,0,NA,29,32,38,NA,NA,NA,0,47,0,NA,0,0,3,6,12,21,NA,NA,NA,NA,0,0,21,6658.26,"wand"
147,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.01,"2/1/20",145.21,"2/5/20",1524.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/9/20",5,0,3327.62,"2/14/20",78,55,23,96,44,174,NA,1,"was left out at room temperature for 24 hours immediately after wasp emergence","17 immature 2nd instars, counted in num unem. even mature 2nds looked small and underdeveloped. some 2nd instars looked stuck in cuticle",26,0,29,29,32,36,NA,NA,NA,0,0,40,45,0,0,3,6,10,NA,14,NA,11,16,0.448275862068966,0.252873563218391,14,3327.62,"em"
149,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",47.63,"1/31/20",197.13,"2/3/20",3119.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/6/20",10976.42,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,26,0,NA,29,31,34,NA,NA,NA,0,37,0,NA,0,0,3,5,8,11,NA,NA,NA,NA,0,0,11,10976.42,"wand"
150,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",41.71,"2/1/20",261.23,"2/5/20",1758.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/11/20",5252.7,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,36,NA,NA,NA,0,42,0,NA,0,0,3,6,10,16,NA,NA,NA,NA,0,0,16,5252.7,"wand"
151,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",51.74,"2/2/20",151.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",4,0,774.52,"2/11/20",40,38,2,10,34,50,NA,NA,NA,"4 immature 2nds counted in num unem. a few large mel plaques found",26,0,29,29,33,NA,NA,NA,NA,0,0,38,42,0,NA,3,7,NA,NA,12,NA,9,13,0.8,0.68,12,774.52,"em"
153,"control",30,"0","1/26/20",NA,NA,NA,NA,"1/29/20",44.58,"1/31/20",187.11,"2/4/20",1876.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",10732.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"head capsule damaged at weighing at 3rd",NA,26,0,NA,29,31,35,NA,NA,NA,0,38,0,NA,0,0,3,5,9,12,NA,NA,NA,NA,0,0,12,10732.6,"wand"
154,"control",30,"10","1/26/20",NA,NA,NA,NA,"1/29/20",44.11,"2/1/20",169.44,"2/5/20",1368.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/10/20",7810.52,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,26,0,NA,29,32,36,NA,NA,NA,0,41,0,NA,0,0,3,6,10,15,NA,NA,NA,NA,0,0,15,7810.52,"wand"
155,"para",30,"0","1/26/20",NA,"1/29/20",1,NA,"1/29/20",44.7,"2/3/20",242.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/7/20",4,0,756.78,"2/11/20",39,36,3,13,30,52,NA,NA,NA,"3 immature 2nds, counted in num unem",26,0,29,29,34,NA,NA,NA,NA,0,0,38,42,0,NA,3,8,NA,NA,12,NA,9,13,0.75,0.576923076923077,12,756.78,"em"
156,"para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",52.17,"2/2/20",232.91,"2/10/20",1016.27,"2/17/20",1102.21,NA,NA,NA,NA,"2/17/20",1102.21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not molt well to 5th, bled. removed cuticle from 4th-6th prolegs at molt to 5th. close to death on p5.1, so culled. frozen for dissection",NA,26,0,29,29,33,41,48,NA,NA,48,0,0,NA,0,0,3,7,15,NA,NA,22,NA,NA,0,0,22,1102.21,"cull"
