"num","p5.meas","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","date.p5.2","date.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","end.class","early_cull","ttp5.1","ttp5.2","ttp5.3","mass","age"
167,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.12,"2/4/20",353.07,"2/7/20",918.62,"2/14/20","2/21/20","2/28/20","2/28/20",18904.43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). molted to 6th on date_p5.1. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,35,38,45,52,59,59,0,0,NA,0,0,3,9,12,NA,NA,33,NA,NA,0,0,33,"cull",0,19,26,33,18904.43,33
167,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.12,"2/4/20",353.07,"2/7/20",918.62,"2/14/20","2/21/20","2/28/20","2/28/20",18904.43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). molted to 6th on date_p5.1. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,35,38,45,52,59,59,0,0,NA,0,0,3,9,12,NA,NA,33,NA,NA,0,0,33,"cull",0,19,26,33,4721.27,19
167,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.12,"2/4/20",353.07,"2/7/20",918.62,"2/14/20","2/21/20","2/28/20","2/28/20",18904.43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). molted to 6th on date_p5.1. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,35,38,45,52,59,59,0,0,NA,0,0,3,9,12,NA,NA,33,NA,NA,0,0,33,"cull",0,19,26,33,15107.31,26
167,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",41.12,"2/4/20",353.07,"2/7/20",918.62,"2/14/20","2/21/20","2/28/20","2/28/20",18904.43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20). molted to 6th on date_p5.1. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,35,38,45,52,59,59,0,0,NA,0,0,3,9,12,NA,NA,33,NA,NA,0,0,33,"cull",0,19,26,33,18904.43,33
171,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",39.59,"2/1/20",110.02,"2/5/20",428.36,"2/12/20","2/19/20","2/26/20","2/26/20",9560.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pmdid not shed fully at molt to 5th, removed cuticle from all prolegs. molted to 6th 2/12/20. Mass: 1809.51. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,3,6,10,NA,NA,31,NA,NA,0,0,31,"cull",0,17,24,31,9560.21,31
171,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",39.59,"2/1/20",110.02,"2/5/20",428.36,"2/12/20","2/19/20","2/26/20","2/26/20",9560.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pmdid not shed fully at molt to 5th, removed cuticle from all prolegs. molted to 6th 2/12/20. Mass: 1809.51. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,3,6,10,NA,NA,31,NA,NA,0,0,31,"cull",0,17,24,31,1809.51,17
171,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",39.59,"2/1/20",110.02,"2/5/20",428.36,"2/12/20","2/19/20","2/26/20","2/26/20",9560.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pmdid not shed fully at molt to 5th, removed cuticle from all prolegs. molted to 6th 2/12/20. Mass: 1809.51. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,3,6,10,NA,NA,31,NA,NA,0,0,31,"cull",0,17,24,31,7342.94,24
171,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",39.59,"2/1/20",110.02,"2/5/20",428.36,"2/12/20","2/19/20","2/26/20","2/26/20",9560.21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pmdid not shed fully at molt to 5th, removed cuticle from all prolegs. molted to 6th 2/12/20. Mass: 1809.51. did not shed fully at molt to 6th, removed cuticle from 4th-6th prolegs",NA,26,0,29,29,32,36,43,50,57,57,0,0,NA,0,0,3,6,10,NA,NA,31,NA,NA,0,0,31,"cull",0,17,24,31,9560.21,31
175,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.06,"2/2/20",216.34,"2/6/20",1309.16,"2/13/20","2/20/20",NA,NA,NA,NA,"2/20/20",7211.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered on date p5.2. put in pupae box to see if it pupates. failed to pupate properly, larval pupal intermediate",NA,26,0,29,29,33,37,44,51,NA,0,51,0,NA,0,0,3,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,7211.92,25
175,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.06,"2/2/20",216.34,"2/6/20",1309.16,"2/13/20","2/20/20",NA,NA,NA,NA,"2/20/20",7211.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered on date p5.2. put in pupae box to see if it pupates. failed to pupate properly, larval pupal intermediate",NA,26,0,29,29,33,37,44,51,NA,0,51,0,NA,0,0,3,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,8968.37,18
