"bug.id","temp.avg","temp.var","treatment","instar","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep","keep2","mass","age"
"106",30,10,"control","4",8617.27,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,43,NA,0,NA,NA,NA,0,0,4,7,11,18,NA,"col",18,0,0,0,NA,NA,NA,0,"wand","repl",1,1,281.04,7
"106",30,10,"control","5",8617.27,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,43,NA,0,NA,NA,NA,0,0,4,7,11,18,NA,"col",18,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1710.65,11
"106",30,10,"control","end",8617.27,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,43,NA,0,NA,NA,NA,0,0,4,7,11,18,NA,"col",18,0,0,0,NA,NA,NA,0,"wand","repl",1,1,8617.27,18
"107",30,0,"para","3",NA,NA,1,NA,5,0,71,62,9,55,21,92,25,0,29,32,35,0,29,39,44,15,10,0.771739130434783,0.597826086956522,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,51.67,4
"107",30,0,"para","4",NA,NA,1,NA,5,0,71,62,9,55,21,92,25,0,29,32,35,0,29,39,44,15,10,0.771739130434783,0.597826086956522,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,141.25,7
"107",30,0,"para","5",NA,NA,1,NA,5,0,71,62,9,55,21,92,25,0,29,32,35,0,29,39,44,15,10,0.771739130434783,0.597826086956522,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,854.46,10
"107",30,0,"para","end",NA,NA,1,NA,5,0,71,62,9,55,21,92,25,0,29,32,35,0,29,39,44,15,10,0.771739130434783,0.597826086956522,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,NA,14
"108",30,10,"para","3",10612.72,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,50,29,0,NA,NA,NA,0,0,4,7,11,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,36.92,4
"108",30,10,"para","4",10612.72,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,50,29,0,NA,NA,NA,0,0,4,7,11,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,174.88,7
"108",30,10,"para","5",10612.72,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,50,29,0,NA,NA,NA,0,0,4,7,11,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1186.61,11
"108",30,10,"para","end",10612.72,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,50,29,0,NA,NA,NA,0,0,4,7,11,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,10612.72,25
"109",30,0,"control","3",11844.7,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,37.79,4
"109",30,0,"control","4",11844.7,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,652.51,7
"109",30,0,"control","5",11844.7,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,3686.98,10
"109",30,0,"control","end",11844.7,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,11844.7,13
"110",30,10,"control","3",3357.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,49,NA,0,NA,NA,NA,0,0,4,6,10,24,NA,"col",24,0,0,0,NA,NA,NA,0,"wand","repl",1,1,64.41,4
"110",30,10,"control","4",3357.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,49,NA,0,NA,NA,NA,0,0,4,6,10,24,NA,"col",24,0,0,0,NA,NA,NA,0,"wand","repl",1,1,187.51,6
"110",30,10,"control","5",3357.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,49,NA,0,NA,NA,NA,0,0,4,6,10,24,NA,"col",24,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1244.73,10
"110",30,10,"control","end",3357.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,49,NA,0,NA,NA,NA,0,0,4,6,10,24,NA,"col",24,0,0,0,NA,NA,NA,0,"wand","repl",1,1,3357.48,24
"111",30,0,"para","3",NA,795.61,2,NA,4,0,33,31,2,30,1,34,25,0,29,33,NA,0,29,38,42,13,9,0.970588235294118,0.882352941176471,4,8,NA,NA,13,"col",13,0,NA,0,NA,NA,NA,0,"em","repl",1,1,66.26,4
"111",30,0,"para","4",NA,795.61,2,NA,4,0,33,31,2,30,1,34,25,0,29,33,NA,0,29,38,42,13,9,0.970588235294118,0.882352941176471,4,8,NA,NA,13,"col",13,0,NA,0,NA,NA,NA,0,"em","repl",1,1,194.44,8
"111",30,0,"para","5",NA,795.61,2,NA,4,0,33,31,2,30,1,34,25,0,29,33,NA,0,29,38,42,13,9,0.970588235294118,0.882352941176471,4,8,NA,NA,13,"col",13,0,NA,0,NA,NA,NA,0,"em","repl",1,1,NA,NA
"111",30,0,"para","end",NA,795.61,2,NA,4,0,33,31,2,30,1,34,25,0,29,33,NA,0,29,38,42,13,9,0.970588235294118,0.882352941176471,4,8,NA,NA,13,"col",13,0,NA,0,NA,NA,NA,0,"em","repl",1,1,795.61,13
"112",30,10,"para","3",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,0,29,0,NA,NA,NA,0,0,4,8,13,NA,NA,"col",31,0,0,56,1189.87,NA,31,1,"cull","repl",1,1,41.03,4
